,multinomial_ranks,rpvals,rstats,tpvals,tstats
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Arthrobacter,1.5291864561325743,0.03144382201481104,-0.3046866706325591,0.08364500511015584,1.8257659277550013
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Arthrobacter;Arthrobacter_arilaitensis,2.1623078870064454,0.019917146669914215,-0.32833523626812433,0.010008133731074136,2.8605633784784508
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Arthrobacter;Arthrobacter_aurescens,2.2989950465447144,0.0010987354685701245,-0.4481783460906754,8.201598483131985e-05,4.9860488677360095
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Arthrobacter;Arthrobacter_chlorophenolicus,1.5335405158287718,0.06619007991090647,-0.26187890978682343,0.08562680133411657,1.8132231506396705
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Arthrobacter;Arthrobacter_phenanthrenivorans,2.3875060366875367,0.018413678502468615,-0.3322303323761747,0.00018115887977633002,4.633593158452913
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Kocuria;Kocuria_rhizophila,1.7030298697239594,0.1216896462257362,-0.22175437948016719,0.17225359347225205,1.4184528431551928
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Micrococcus;Micrococcus_luteus,3.2089416074043946,0.27849283473847447,-0.15626845683383617,0.05008753604783746,2.0921396251531426
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Renibacterium;Renibacterium_salmoninarum,1.8757683920151431,2.438764092305857e-05,-0.5591069698147116,6.948533820054921e-05,5.060370543462137
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Rothia;Rothia_dentocariosa,2.4967346476799683,0.0927978101178367,-0.24028475020682022,0.12792053013061566,1.5918443510167675
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Rothia;Rothia_mucilaginosa,1.904116241861029,0.009767718844136979,-0.3620909581057346,0.05391553232101252,2.0547670886620977
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Actinoplanes,2.064673511911078,0.013884276834585691,-0.34586683821240727,6.663068121070832e-05,5.079211439025483
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Actinoplanes;Actinoplanes_missouriensis,2.35190847389762,0.0026268244125819316,-0.4164642639995567,0.00011992918383546535,4.816512509952291
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Micromonospora,2.4826104926354127,0.0005885285830620354,-0.4691601328230489,0.00028130393254833765,4.439481586577579
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Micromonospora;Micromonospora_aurantiaca,1.9333626913315485,0.46613744375802313,-0.1054439150406364,0.14236274157475923,1.5305416227100765
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Salinispora;Salinispora_arenicola,2.4632791566139893,0.0010057592451754966,-0.4512321951937747,1.0199076483002015e-05,5.9400973139854605
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Salinispora;Salinispora_tropica,2.299144296575232,9.600754085970871e-05,-0.5234322899446329,0.0002543644436786348,4.483804934042603
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;Verrucosispora;Verrucosispora_maris,2.4398509549385743,0.0037026448062613296,-0.4030917670544566,0.004643823434560629,3.206707403793244
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Mycobacteriaceae;Amycolicicoccus;Amycolicicoccus_subflavus,2.004592387605353,0.13401479756195445,-0.2148644247381701,0.0053159720149580135,3.1463295362077344
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Mycobacteriaceae;Mycobacterium,1.8185910271889405,0.020498818411648717,-0.32689479011585737,0.004803969489282207,3.191582456443815
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Mycobacteriaceae;Mycobacterium;Mycobacterium_abscessus,1.9411150502449697,0.3170154547893847,-0.14441675344436952,0.12615160285297675,1.5997461125720225
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Mycobacteriaceae;Mycobacterium;Mycobacterium_africanum,0.7771976577526765,0.11568528692693857,-0.22530369640102355,0.05158427647955711,2.0772295591795253
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Mycobacteriaceae;Mycobacterium;Mycobacterium_avium,2.2069049762970643,0.04103010770387439,-0.29004766253752456,0.007915824699511279,2.967185455013788
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Mycobacteriaceae;Mycobacterium;Mycobacterium_bovis,0.6857230948692994,0.4153844895901433,-0.1177581850387653,0.2876268332141183,1.0940099761010749
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Mycobacteriaceae;Mycobacterium;Mycobacterium_canettii,2.0849792646652894,0.013232095124818264,-0.34813457674938453,0.002749694498114628,3.4391486768488533
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Mycobacteriaceae;Mycobacterium;Mycobacterium_chubuense,1.8420708464867308,0.021517319953906627,-0.3244536749730277,0.010401093174130245,2.842965189895644
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Mycobacteriaceae;Mycobacterium;Mycobacterium_gilvum,1.9961218523270323,0.06543194830691554,-0.26258864718845704,0.023735457445503122,2.458238738953998
